pais,iso3,anio,pib_per_capita
Myanmar,MMR,2022,1158.05005034332
Namibia,NAM,2022,4349.79908493314
Naoero,NRU,2022,15309.8345351924
Nepal,NPL,2022,1385.91066002922
Netherlands,NLD,2022,59123.318556487
New Caledonia,NCL,2022,33516.363085906
New Zealand,NZL,2022,49141.6316294227
Nicaragua,NIC,2022,2322.89069619459
Niger,NER,2022,613.614736429298
Nigeria,NGA,2022,2899.16047469267
North Macedonia,MKD,2022,7606.2375253797
Northern Mariana Islands,MNP,2022,23785.754590043
Norway,NOR,2022,113122.130765691
Oman,OMN,2022,23223.5829405935
Pakistan,PAK,2022,1538.3228133171
Palau,PLW,2022,13934.951996171
Panama,PAN,2022,17378.6070083597
Papua New Guinea,PNG,2022,3102.29409730005
Paraguay,PRY,2022,6189.10205375331
Peru,PER,2022,7353.74598721667
Philippines,PHL,2022,3548.06930572116
Poland,POL,2022,18891.2121169279
Portugal,PRT,2022,24620.5197587181
Puerto Rico (US),PRI,2022,35353.5613891039
Qatar,QAT,2022,88701.463352273
Romania,ROU,2022,15503.4691366242
Russian Federation,RUS,2022,15625.6328125
Rwanda,RWA,2022,1007.05989322914
Samoa,WSM,2022,4132.44717734444
San Marino,SMR,2022,54264.5837022908
Sao Tome and Principe,STP,2022,2389.73729784737
Saudi Arabia,SAU,2022,38510.2276211037
Senegal,SEN,2022,1574.0281059306
Serbia,SRB,2022,10024.8191112596
Seychelles,SYC,2022,16682.6990711785
Sierra Leone,SLE,2022,860.371067874555
Singapore,SGP,2022,91227.6970426492
Sint Maarten (Dutch part),SXM,2022,37793.1283815826
Slovak Republic,SVK,2022,21317.7943982363
Slovenia,SVN,2022,28360.3041467268
Solomon Islands,SLB,2022,1877.78104490956
"Somalia, Fed. Rep.",SOM,2022,573.141165798229
South Africa,ZAF,2022,6534.24867783397
South Sudan,SSD,2022,
Spain,ESP,2022,30319.4987196616
Sri Lanka,LKA,2022,3342.63650438046
St. Kitts and Nevis,KNA,2022,21011.5744209816
St. Lucia,LCA,2022,12976.1489693474
St. Martin (French part),MAF,2022,
St. Vincent and the Grenadines,VCT,2022,9693.55867833025
Sudan,SDN,2022,1046.24084472656
Suriname,SUR,2022,6084.43876736445
Sweden,SWE,2022,54836.8907235124
Switzerland,CHE,2022,97809.095567203
Syrian Arab Republic,SYR,2022,1056.78264718197
Tajikistan,TJK,2022,1052.17949484894
Tanzania,TZA,2022,1207.52062988281
Thailand,THA,2022,6910.00995211206
Timor-Leste,TLS,2022,2343.24955542816
Togo,TGO,2022,1071.61539220759
Tonga,TON,2022,5298.01942454298
Trinidad and Tobago,TTO,2022,20750.5202434652
Tunisia,TUN,2022,3707.29283414381
Turkiye,TUR,2022,10897.8397861365
Turkmenistan,TKM,2022,5198.18947409551
Turks and Caicos Islands,TCA,2022,31280.5418020808
Tuvalu,TUV,2022,5414.74642912412
Uganda,UGA,2022,963.067314117178
Ukraine,UKR,2022,4199.6708984375
United Arab Emirates,ARE,2022,50759.7590190204
United Kingdom,GBR,2022,47034.7795621476
United States,USA,2022,78008.6895811877
Uruguay,URY,2022,21009.2883798725
Uzbekistan,UZB,2022,2698.60262953369
Vanuatu,VUT,2022,3679.53524327491
"Venezuela, RB",VEN,2022,3155.04190923584
Viet Nam,VNM,2022,4147.69777213621
Virgin Islands (U.S.),VIR,2022,44320.909185774
West Bank and Gaza,PSE,2022,3799.95527015163
"Yemen, Rep.",YEM,2022,
Zambia,ZMB,2022,1447.12310138035
Zimbabwe,ZWE,2022,2536.40197087505
